gene_id	041017C1d150S1	041017E1d150S2	041917E1d14S1	041917F1d14S2
0610005C13Rik	0	0	0	0
0610007P14Rik	0	0	0	0
0610009B22Rik	0	3	0	0
0610009L18Rik	0	0	0	0
0610009O20Rik	0	0	0	0
0610010B08Rik	0	0	0	0
0610010F05Rik	30	62	41	61
0610010K14Rik	0	0	0	0
0610011F06Rik	0	0	0	0
0610012G03Rik	1075	1091	974	1885
0610030E20Rik	2	2	0	3
0610031J06Rik	0	0	0	0
0610031O16Rik	346	308	870	461
0610037L13Rik	0	0	0	0
0610038B21Rik	0	0	0	4
0610039K10Rik	0	0	0	0
0610040B10Rik	0	0	0	0
0610040F04Rik	141	103	56	37
0610040J01Rik	0	0	0	0
0610043K17Rik	0	0	0	0
1010001N08Rik	0	0	0	0
1100001G20Rik	0	0	0	0
1110001J03Rik	60	70	109	59
1110002L01Rik	38	41	28	10
1110004E09Rik	160	136	156	220
1110004F10Rik	0	0	0	0
1110006O24Rik	0	0	0	0
1110007C09Rik	0	0	0	0
1110008F13Rik	0	0	0	0
1110008L16Rik	71	450	291	215
1110008P14Rik	0	0	0	0
1110012L19Rik	0	0	0	0
1110015O18Rik	0	0	0	0
1110017D15Rik	0	0	0	2
1110019D14Rik	0	0	0	0
1110020A21Rik	0	0	0	0
1110025L11Rik	0	0	0	0
1110028F11Rik	0	0	0	0
1110028F18Rik	0	0	0	0
1110032A03Rik	0	0	0	0
1110032F04Rik	218	468	96	141
1110034G24Rik	101	113	119	150
1110036E04Rik	0	0	0	0
1110037F02Rik	22	23	82	167
1110038B12Rik	0	0	0	5
1110038F14Rik	0	0	0	0
1110046J04Rik	0	0	0	0
1110051M20Rik	0	0	0	1
1110054M08Rik	137	110	88	124
1110057K04Rik	0	17	10	24
1110058L19Rik	111	131	85	143
1110059E24Rik	0	0	0	0
1110059G10Rik	0	0	0	0
1110065P20Rik	0	0	0	0
1190002F15Rik	0	0	0	0
1190002N15Rik	0	0	0	0
1190003K10Rik	0	0	0	0
1190005I06Rik	0	0	0	0
1190007I07Rik	0	0	0	0
1200014J11Rik	0	0	0	0
1300002E11Rik	1174	840	2480	2043
1300002K09Rik	1	1	2	4
1300017J02Rik	31	10	51	51
1500004A13Rik	10	11	35	17
1500009C09Rik	0	0	0	0
1500009L16Rik	0	0	0	0
1500011B03Rik	511	537	333	318
1500011K16Rik	0	0	0	0
1500012F01Rik	0	0	0	0
1500012K07Rik	25	2	1	1
1500015A07Rik	1832	1310	3369	1870
1500015L24Rik	0	0	0	0
1500015O10Rik	0	0	0	0
1500017E21Rik	0	0	0	2
1600002D24Rik	0	0	0	0
1600002H07Rik	178	216	26	85
1600002K03Rik	48	38	35	27
1600010M07Rik	0	0	0	0
1600012H06Rik	0	0	0	0
1600014C10Rik	0	1	0	0
1600014C23Rik	0	1	0	0
1600014K23Rik	0	0	0	0
1600015I10Rik	0	0	0	0
1600016N20Rik	0	1	0	7
1600019K03Rik	0	0	0	0
1600020E01Rik	0	0	0	5
1600023N17Rik	0	0	0	0
1600025M17Rik	31	31	30	34
1600027J07Rik	0	0	0	0
1600029I14Rik	0	0	0	0
1600029O15Rik	0	0	0	0
1700001C02Rik	58	39	41	24
1700001C19Rik	0	0	0	0
1700001D01Rik	0	0	0	0
1700001F09Rik	0	0	0	0
1700001G11Rik	0	0	0	0
1700001G17Rik	0	0	0	0
1700001J03Rik	0	0	0	0
1700001J11Rik	0	0	0	0
1700001K19Rik	0	0	0	0
1700001K23Rik	2	1	1	3
1700001L05Rik	65	38	32	53
1700001L19Rik	0	0	0	0
1700001O22Rik	0	0	0	0
1700001P01Rik	0	0	0	0
1700003C15Rik	0	0	0	0
1700003D09Rik	50	13	49	19
1700003E16Rik	0	0	0	0
1700003E24Rik	0	0	0	0
1700003F12Rik	0	0	0	0
1700003G13Rik	0	0	0	0
1700003G18Rik	1373	1426	1072	1207
1700003H04Rik	0	0	0	0
1700003L19Rik	0	0	0	0
1700003M02Rik	203	137	393	383
1700003M07Rik	0	0	0	0
1700003P14Rik	0	0	0	0
1700006A11Rik	0	0	0	0
